input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_,tls_mismatched
cdn.firebase.com,Page Not Found,404,1584,cdn.firebase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T16:23:05Z,2023-06-13T17:21:25Z,CN=elaularestaurante.es,elaularestaurante.es,michaelsanchez.co,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,32b22ad12b624944ab321fcd9058e811,e8bc97f053ff87caac2cb2ce9f370ec8227d5d23e6ee76c184a03ff85b81dfb6,ctls,cdn.firebase.com,443,https://cdn.firebase.com:443,https,text/html,GET,151.101.65.195,/,1194624130,151.101.1.195,HTTP/3,32,False,fastly,,True,,,,,
checkoutshopper-live.adyen.com,,200,,checkoutshopper-live.adyen.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-31T00:00:00Z,2024-01-31T23:59:59Z,CN=adyen.com,adyen.com,*.adyen.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7c2c024a0ed59f341b283ee38f3bf083,0dd8c89bfa2a115124d39d8a607c31bc735087fb68f4cef17a5fd924a5a9a148,ctls,checkoutshopper-live.adyen.com,443,https://checkoutshopper-live.adyen.com:443,https,text/html,GET,193.67.130.68,/,643264156,147.12.16.68,Nginx,1,False,,nginx,,,True,,,
clicks.traderepublic.com,404 Not Found,404,150,clicks.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-23T23:59:59Z,CN=clicks.traderepublic.com,clicks.traderepublic.com,clicks.traderepublic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,403b76ee8eba20287fbca4cf5ee38cbd,3a80126504f1decc8763cdd45244d1b4ae7a958f31a974600da63c517d60dae6,ctls,clicks.traderepublic.com,443,https://clicks.traderepublic.com:443,https,text/html,GET,18.66.147.9,/,1593207841,18.66.147.124,Amazon Web Services,8,False,cloudfront,msys-http,True,,,,,
engineering.traderepublic.com,Trade Republic Engineering,200,113738,engineering.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-23T00:00:00Z,2023-07-23T23:59:59Z,"CN=engineering.traderepublic.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",engineering.traderepublic.com,engineering.traderepublic.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f1f278617ce41981a68a31357f0d5afb,1ac061acce881f92dc2286d2a8a087b5e2a37afb04cbcebae3dedfc7e9f44ec9,ctls,engineering.traderepublic.com,443,https://engineering.traderepublic.com:443,https,text/html,GET,162.159.153.4,/,-1485515534,162.159.152.4,HTTP/3,82,False,cloudflare,cloudflare,True,https://medium.com,,https://engineering.traderepublic.com/?gi=d5a942f25d8c,"Cloudflare, Inc.",
firebase.googleapis.com,,404,38,firebase.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,firebase.googleapis.com,443,https://firebase.googleapis.com:443,https,text/html,GET,142.250.74.202,/,1982888140,2a00:1450:4001:82b::200a,HTTP/3,3,False,,ESF,,,True,,,
firebaseinstallations.googleapis.com,Error 404 (Not Found)!!1,404,1561,firebaseinstallations.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,firebaseinstallations.googleapis.com,443,https://firebaseinstallations.googleapis.com:443,https,text/html,GET,142.250.185.106,/,302920777,2a00:1450:4001:803::200a,HTTP/3,12,False,,ESF,,,True,,,
firebaseremoteconfig.googleapis.com,Error 404 (Not Found)!!1,404,1561,firebaseremoteconfig.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,firebaseremoteconfig.googleapis.com,443,https://firebaseremoteconfig.googleapis.com:443,https,text/html,GET,142.250.185.202,/,302920777,2a00:1450:4001:831::200a,HTTP/3,12,False,,ESF,,,True,,,
fonts.traderepublic.com,,403,255,fonts.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-16T23:59:59Z,CN=fonts.traderepublic.com,fonts.traderepublic.com,fonts.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,71e1f9d3e9d7a8dc1c49730db8c6ab3d,20339d1afe8a1d1942274ee7c2e87e9883522aa06d329eba61e26a176ffc1e0a,ctls,fonts.traderepublic.com,443,https://fonts.traderepublic.com:443,https,application/xml,GET,13.224.189.25,/,1635546728,13.224.189.114,Amazon Web Services,2,False,cloudfront,AmazonS3,True,,,,,
github-approval-bot.production.traderepublic.com,Error,404,139,github-approval-bot.production.traderepublic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-04-06T23:59:59Z,CN=github-approval-bot.production.traderepublic.com,github-approval-bot.production.traderepublic.com,github-approval-bot.production.traderepublic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,775643d04698b849f0157c281138e8b7,c338b48a4c6e906bd3aa031428dd3bf8188ae752594ee0448371e74097c3388a,ctls,github-approval-bot.production.traderepublic.com,443,https://github-approval-bot.production.traderepublic.com:443,https,text/html,GET,18.157.66.217,/,1593207841,3.67.54.252,Node.js,11,False,,,,,,,,
https://ekr.zdassets.com,,404,9,ekr.zdassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-11-09T23:59:59Z,"CN=zdassets.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zdassets.com,*.zdassets.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",77aded12c2ec419c8953798f0ed56f4c,c30b9d6e82b472872ae120ed9387019dc5c720d392f4c9a6bc905190956f34a8,ctls,ekr.zdassets.com,443,https://ekr.zdassets.com:443,https,text/plain,GET,104.18.70.113,/,1257725933,104.18.72.113,HSTS,1,False,cloudflare,cloudflare,True,,True,,"Cloudflare, Inc.",
https://graphql.contentful.com,GraphQL Content API | Contentful,200,369809,www.contentful.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T17:30:12Z,2023-06-12T17:30:11Z,CN=contentful.com,contentful.com,www.contentful.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b757848a1a6f1df1402c268b20149b21,799de96764b178f9d932b2bb153e9f4a2c12b09b7f9bb55ba279b6084f2b6ff4,ctls,www.contentful.com,443,https://graphql.contentful.com:443,https,text/html,GET,146.75.122.49,/,937473309,146.75.122.49,React,2485,False,fastly,Netlify,True,,,https://www.contentful.com/developers/docs/references/graphql/,,
https://static.zdassets.com,,403,243,static.zdassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-11-09T23:59:59Z,"CN=zdassets.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zdassets.com,*.zdassets.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",77aded12c2ec419c8953798f0ed56f4c,c30b9d6e82b472872ae120ed9387019dc5c720d392f4c9a6bc905190956f34a8,ctls,static.zdassets.com,443,https://static.zdassets.com:443,https,application/xml,GET,104.18.72.113,/,-1279294674,104.18.70.113,HSTS,2,False,cloudflare,cloudflare,True,,True,,"Cloudflare, Inc.",
https://traderepublic.zendesk.com,Security check,403,7825,traderepublic.zendesk.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=traderepublic.zendesk.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",traderepublic.zendesk.com,traderepublic.zendesk.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67e9d5d3a31004bf27f6325f75c5b7e8,b48112bcace92ab6cef9bd4182d627b4dd292ff7d9fcbc6dd99c5bee7673f37c,ctls,traderepublic.zendesk.com,443,https://traderepublic.zendesk.com:443,https,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,cloudflare,cloudflare,True,,,https://traderepublic.zendesk.com/hc/en-150,"Cloudflare, Inc.",
https://v2assets.zopim.io,403 Forbidden,403,548,v2assets.zopim.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zopim.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ace046f4ff7d9871d5a3a41a6dfd5f5,ff0712493cd42489d97401b882ff78b98dcedd6172c100c289e6b30a6f9bf49f,ctls,v2assets.zopim.io,443,https://v2assets.zopim.io:443,https,text/html,GET,104.18.204.90,/,797839559,104.16.152.37,Cloudflare,14,False,cloudflare,cloudflare,True,,True,,"Cloudflare, Inc.",
images.ctfassets.net,,404,109,images.ctfassets.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-16T23:59:59Z,CN=images.ctfassets.net,images.ctfassets.net,images.ctfassets.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0fe1f56fad6c72aff7f3ea2d4cc4472a,5287ae8cf6fb5a88eebdd42e2e7da60dee3d89200c8362212fd46307318a24de,ctls,images.ctfassets.net,443,https://images.ctfassets.net:443,https,application/json,GET,13.32.27.50,/,-1759937580,2600:9000:211e:d000:12:94b3:c380:93a1,Amazon Web Services,7,False,cloudfront,CloudFront,True,,,,,
maillink.traderepublic.com,"Trade Republic: Investiere in Aktien, ETFs, Crypto & Derivate",200,180266,traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=traderepublic.com,traderepublic.com,www.traderepublic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,60193a1edc4fe53ebd7d9ec37bf772dd,702beac3c3fa4706728d931ad5cdc5d20a32733783edd748971797a7a315d16c,ctls,traderepublic.com,443,https://maillink.traderepublic.com:443,https,text/html,GET,18.195.71.103,/,774963525,18.195.68.227,Vue.js,113,False,,CloudFront,,images.contentful.com,,https://traderepublic.com/de-de,,
mp.traderepublic.com,,404,,mp.traderepublic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-10T15:40:13Z,2024-05-11T15:40:12Z,CN=mp.traderepublic.com,mp.traderepublic.com,mp.traderepublic.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,05034aa6a27a423afcc4b5682791a107,a1172a1d5ec34fa37717138fdd5774d5e96c31d5c2a0016dc6e0109f987d0922,ctls,mp.traderepublic.com,443,https://mp.traderepublic.com:443,https,,GET,151.101.2.133,/,-1840324437,2a04:4e42:600::645,Varnish,1,False,fastly,Kestrel,True,,,,,
rum-http-intake.logs.datadoghq.eu,,404,81,rum-http-intake.logs.datadoghq.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.logs.datadoghq.eu, O=Datadog\, Inc., L=New York, ST=New York, C=US",*.logs.datadoghq.eu,logs.datadoghq.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,306cb7d7290f181ffdb2214a1e116d69,79144a59dfdca3af66276673daeebe5697299ee5c3f796cc6aafccf36e68c362,ctls,rum-http-intake.logs.datadoghq.eu,443,https://rum-http-intake.logs.datadoghq.eu:443,https,application/json,GET,34.95.101.191,/,1077183267,2600:1901:0:662c::,HTTP/3,1,False,google,,True,,True,,"Datadog, Inc.",
stats.g.doubleclick.net,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://stats.g.doubleclick.net:443,https,text/html,GET,74.125.206.154,/,302920777,2a00:1450:400c:c0c::9a,HTTP/3,1831,False,,sffe,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,True,https://marketingplatform.google.com/about/analytics/,,
survey.traderepublic.com,"Trade Republic: Investiere in Aktien, ETFs, Crypto & Derivate",200,180252,traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=traderepublic.com,traderepublic.com,www.traderepublic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,60193a1edc4fe53ebd7d9ec37bf772dd,702beac3c3fa4706728d931ad5cdc5d20a32733783edd748971797a7a315d16c,ctls,traderepublic.com,443,https://survey.traderepublic.com:443,https,text/html,GET,18.66.122.116,/,-52628439,2600:9000:2250:6000:12:18e5:50c0:93a1,Vue.js,113,False,cloudfront,CloudFront,True,cdn.linkedin.oribi.io,,https://traderepublic.com/de-de,,
tech-radar-backend.traderepublic.com,Sign in to GitHub · GitHub,200,31802,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,ctls,github.com,443,https://tech-radar-backend.traderepublic.com:443,https,text/html,GET,185.199.111.153,/,-1121995932,2606:50c0:8003::153,HSTS,413,False,,GitHub.com,,objects.githubusercontent.com,,https://github.com/login?return_to=%2Fpages%2Fauth%3Fnonce%3D6d70df18-b671-4a49-9912-6bf3d9cc7be1%26page_id%3D31803760%26path%3DLw,"GitHub, Inc.",
tracking.traderepublic.com,,200,,tracking.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T05:13:10Z,2023-07-19T05:57:17Z,CN=tracking.traderepublic.com,tracking.traderepublic.com,tracking.traderepublic.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,4c2c09022331fb9a0faef121349cadf3,975e761628e3d6efd0de488739f460ce758504f5b4f113601ab276ab5a219fff,ctls,tracking.traderepublic.com,443,https://tracking.traderepublic.com:443,https,text/html,GET,216.239.34.21,/,-1840324437,2001:4860:4802:38::15,Google Cloud Trace,1,False,,Google Frontend,,,,,,
www.google.com,Google,200,254540,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,443,https://www.google.com:443,https,text/html,GET,142.250.184.228,/,708578229,2a00:1450:4001:82b::2004,HTTP/3,569,False,,gws,,https://csp.withgoogle.com/csp/gws/other-hp,,,,
www.google.de,Google,200,189841,www.google.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:50Z,2023-07-17T12:00:49Z,CN=www.google.de,www.google.de,www.google.de,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,25fe1e432bdb79fc74e400be19163532,f37766b60ae58a56d0bc0d622aeccde139be4a1101d41dfe1343b89cdd271009,ctls,www.google.de,443,https://www.google.de:443,https,text/html,GET,142.250.185.131,/,708578229,2a00:1450:4001:82b::2003,HTTP/3,134,False,,gws,,https://csp.withgoogle.com/csp/gws/other-hp,,,,
www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,text/html,GET,172.217.16.136,/,302920777,2a00:1450:4001:808::2008,HTTP/3,12,False,,Google Tag Manager,,,True,,,True
www.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,www.gstatic.com,443,https://www.gstatic.com:443,https,text/html,GET,172.217.16.195,/,302920777,2a00:1450:4001:810::2003,HTTP/3,12,False,,sffe,,,True,,,
